superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas
1996;Tierra del Fuego;105,11;93,1; -   ; -   ;12,01; -   
1996;Tucumán;31,5; -   ; -   ; -   ;31,5; -   
1997;Buenos Aires;3.902,25;489;334;355,25;2.724,00; -   
1997;Catamarca;45.900,00; -   ; -   ;3.900,00;42.000,00; -   
1997;Chaco;7.660,00;2.711,00;909; -   ;4.040,00; -   
1997;Chubut;3.621,94;151,29;39,95;45,5;3.385,20; -   
1997;Córdoba;39.517,00;22.213,00;169;3.773,00;13.362,00; -   
1997;Corrientes;424;58;50;113;203; -   
1997;Entre Ríos;857;163;353;63;278; -   
1997;Formosa;2.686,00; -   ;4;300;2.382,00; -   
1997;Jujuy;274; -   ;228; -   ;46; -   
1997;La Pampa;31.780,00;31.770,00; -   ;10; -   ; -   
1997;La Rioja;25.003,00; -   ; -   ; -   ;25.003,00; -   
1997;Mendoza;4.100,00;2.450,00; -   ;1.100,00;550; -   
1997;Misiones;2.160,00;54;1.218,00;259;629; -   
1997;Neuquén;17.280,38;40,14;2,05;391,3;16.846,89; -   
1997;Río Negro;10.481,53;5.153,79;418,33;261,77;4.647,63; -   
1997;Salta;40.185,00;23.694,00;1.253,00;7.377,00;7.861,00; -   
1997;San Juan;438,5; -   ;12,5;31,5;394,5; -   
1997;San Luis;6.436,00;2.112,00; -   ;2.282,00;2.042,00; -   
1997;Santa Cruz;21.381,00; -   ;9;6.003,00;15.369,00; -   
1997;Santa Fe;492;40; -   ;38,25;413,75; -   
1997;Santiago del Estero;8.000,00;500; -   ; -   ;7.500,00; -   
1997;Tierra del Fuego;148,08;23; -   ;1;124,08; -   
1997;Tucumán;1.321,00; -   ; -   ; -   ;1.321,00; -   
1998;Buenos Aires;38.970,50;401;1.427,00;1.723,25;35.409,25;10
1998;Catamarca;2.100,00;500; -   ; -   ;1.600,00; -   
1998;Chaco;14.726,26; -   ;0,15; -   ;14.726,11; -   
1998;Chubut;7.671,88;4.045,19;131,55;742,22;2.752,92; -   
1998;Córdoba;20.504,00;8.817,00;4;9.503,00;2.180,00; -   
1998;Corrientes;315; -   ; -   ;152;163; -   
1998;Entre Ríos;461;8;312; -   ;141; -   
1998;Formosa;711,16; -   ; -   ; -   ;711,16; -   
1998;Jujuy;498,61;449;45;4,5;0,11; -   
1998;La Pampa;389.740,00;137.265,00; -   ;252.475,00; -   ; -   
1998;La Rioja;21.012,00;1.802,00; -   ; -   ;19.210,00; -   
1998;Mendoza;111.460,00;12.403,00; -   ;9.433,00;89.624,00; -   
1998;Misiones;5.514,00;286;1.246,00;1.708,00;2.204,00;70
1998;Neuquén;12.392,83;68,05;6,5;15,4;12.302,87; -   
1998;Río Negro;82.698,98;9.384,01;505,2;9.095,16;63.714,61; -   
1998;Salta;23.042,00;14.024,00;105;3.100,00;5.813,00; -   
1998;San Juan;263,5; -   ;1;44,5;218; -   
1998;San Luis;146.637,00;87.015,00; -   ;24.189,00;35.433,00; -   
1998;Santa Cruz;3.483,00; -   ; -   ;25;3.458,00; -   
1998;Santa Fe;534,75; -   ; -   ;36,5;498,25; -   
1998;Santiago del Estero;2.709,00;940; -   ;639;1.130,00; -   
1998;Tierra del Fuego;533,74;53,06; -   ;0,24;480,44; -   
1999;Buenos Aires;41.574,00;1.028,00;2.898,50;3.166,00;34.481,50; -   
1999;Catamarca;1.300,00; -   ; -   ; -   ;1.300,00; -   
1999;Chaco;9.381,47;406; -   ;149,97;8.825,50; -   
1999;Chubut;27.437,74;8.903,63;9,33;3.388,38;15.136,41; -   
1999;Córdoba;59.933,00;22.306,00;65; -   ;37.562,00; -   
1999;Corrientes;8.176,00;12;2.523,00;10;5.631,00; -   
1999;Entre Ríos;20.236,50;7.118,00;9.710,00; -   ;3.408,50; -   
1999;Formosa;6.240,00; -   ; -   ;262;5.978,00; -   
1999;Jujuy;329;43;17;42;227; -   
1999;La Pampa;77.270,00;34.830,00; -   ;42.440,00; -   ; -   
1999;La Rioja;67.025,00;3; -   ;4.000,00;63.022,00; -   
1999;Mendoza;67.238,50;26.246,50;945;25.435,50;14.611,50; -   
1999;Misiones;3.675,00;1.476,00;948;490;761; -   
1999;Neuquén;128.756,19;322,66;27,28;4.646,56;123.759,69; -   
1999;Río Negro;59.385,11;10.870,80;1.167,09;4.584,72;42.762,50; -   
1999;Salta;14.835,00;5.865,00;70;2.190,00;6.710,00; -   
1999;San Juan;1.083,75; -   ; -   ;146,75;937; -   
1999;San Luis;87.157,00;34.729,00; -   ;44.416,00;8.012,00; -   
1999;Santa Cruz;19.097,75;16,25;120,25;6.086,25;12.875,00; -   
1999;Santa Fe;363,79;44;1;9,52;309,27; -   
1999;Santiago del Estero;1.200,00;300; -   ;400;500; -   
1999;Tierra del Fuego;213,81;88,83;0,04; -   ;124,93; -   
1999;Tucumán;2.818,00; -   ;10;5;2.803,00; -   
2000;Buenos Aires;17.926,50;1.116,00;398,5;1.901,50;14.510,50; -   
